ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
119,-46709570,-23690072,355030879000024,3550308005220,81,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM SUZANO,10863,AV INACIO CUNHA LEME,,JD IPANEMA
120,-46683486,-23766891,355030830000002,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM TRES CORACOES,11274,RUA BENEDITA MARTINS RAMOS,,JD TRES CORACOES
121,-46688755,-23721351,355030823000015,3550308005218,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,AV DAS JABOTICABEIRAS,11398,ES DO CAPOEIRAO,,JD COLONIAL
122,-46681941,-23752316,355030830000054,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,COCAIA,11479,AV TRINTA E SETE CONJ FARIA LIMA,,PQ COCAIA
123,-46692967,-23737043,355030830000422,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,PQUE AMERICA,11614,RUA BENEDITO MARCELLO,,PQ SAO PAULO
124,-46695103,-23692377,355030823000174,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,VILA DA PAZ,11738,RUA INACIO DE ALMEIDA ARRUDA,,VILA DA PAZ
125,-46694052,-23776081,355030830000643,3550308005282,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JD. NOVO HORIZONTE,11746,RUA LUAR DE LAGRIMAS,,JD NOVO HORIZONTE
126,-46683530,-23783933,355030830000304,3550308005303,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM VARGINHA,12700,RUA RAIMUNDA P DE ALENCAR DA SILVA,,JARDIM VARGINHA
127,-46690174,-23736523,355030830000279,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM EDA,30406,RUA JOSE ANTUNES CERDEIRA,,PQ AMERICA
128,-46711682,-23680417,355030879000004,3550308005220,81,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,VELEIROS,30856,RUA DAS PAINEIRAS,,VELEIROS
129,-46667320,-23753094,355030830000192,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM ELIANA,31135,RUA AMAZONAS MARCONDES,,COCAIA
130,-46687389,-23717248,355030823000032,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,VILA SAO BENEDITO,40770,RUA JOSE BONIFACIO FILHO,,CID DUTRA
131,-46706862,-23740022,355030823000189,3550308005286,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,BANDEIRANTES,40908,PC JOSE SCHUNCH,,VL SAO JOSE
132,-46705117,-23681681,355030879000015,3550308005220,81,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,VILA NOVA FRIBURGO,40959,AV DANTON JOBIM,,VL FRIBURGO
133,-46683017,-23754325,355030830000014,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,RIO PRETO,41114,RUA SAO JOSE DO RIO PRETO,,GRAJAU
134,-46706246,-23757911,355030830000152,3550308005285,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM S FRANCISCA,41343,RUA HENRY LACORDAIRE,,JD STA FRANCISCA
